unique_number,rev_bis,name_en,date_inscribed,danger_list,Latitude,Longitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en
1391,,Sewell Mining Town,2006,,-34.0844444444,-70.3827777777,17.2,0,1,0,0,0,0,0,0,0,0,(ii),Cultural,C,Chile
507,,Mount Taishan,1987,,36.26667,117.1,25000,1,1,1,1,1,1,1,0,0,0,(i)(ii)(iii)(iv)(v)(vi)(vii),Mixed,C/N,China
508,,The Great Wall,1987,,40.41667,116.08333,2151.55,1,1,1,1,0,1,0,0,0,0,(i)(ii)(iii)(iv)(vi),Cultural,C,China
510,Bis,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,1987,,41.79416667,123.4469444,12.96,1,1,1,1,0,0,0,0,0,0,(i)(ii)(iii)(iv),Cultural,C,China
511,,Mogao Caves,1987,,40.13333,94.81667,0,1,1,1,1,1,1,0,0,0,0,(i)(ii)(iii)(iv)(v)(vi),Cultural,C,China
512,,Mausoleum of the First Qin Emperor,1987,,34.38333333,109.1,0,1,0,1,1,0,1,0,0,0,0,(i)(iii)(iv)(vi),Cultural,C,China
521,,Peking Man Site at Zhoukoudian,1987,,39.73333333,115.9166667,480,0,0,1,0,0,1,0,0,0,0,(iii)(vi),Cultural,C,China
1933,Bis,Mount Huangshan,1990,,30.16667,118.18333,16060,0,1,0,0,0,0,1,0,0,1,(ii)(vii)(x),Mixed,C/N,China
757,,Jiuzhaigou Valley Scenic and Historic Interest Area,1992,,33.08333,103.91667,72000,0,0,0,0,0,0,1,0,0,0,(vii),Natural,N,China
758,,Huanglong Scenic and Historic Interest Area,1992,,32.75417,103.82222,60000,0,0,0,0,0,0,1,0,0,0,(vii),Natural,N,China
760,,Wulingyuan Scenic and Historic Interest Area,1992,,29.33333,110.5,26400,0,0,0,0,0,0,1,0,0,0,(vii),Natural,N,China
